Program;Mutation Score;Classification;Test Time (s);Test Suite Size;Num Mutants;Assertion Count;Statement Coverage (%)
program_004;100.0;Well tested;0.023796796798706055;19;1;1;66.67
program_007;100.0;Well tested;0.031713247299194336;14;1;1;66.67
program_014;0.0;Weakly tested;0.0;13;0;0;50.0
program_018;100.0;Well tested;0.03135180473327637;14;4;4;83.33
program_020;88.88888888888889;Well tested;0.07237887382507324;12;9;8;50.0
program_021;94.44444444444444;Well tested;0.9066636562347412;13;18;17;93.75
program_023;88.23529411764706;Well tested;15.224883556365967;12;17;12;93.33
program_025;90.0;Well tested;0.12356781959533691;12;10;9;90.48
program_026;100.0;Well tested;0.03308606147766113;13;2;2;66.67
program_033;100.0;Well tested;0.04885983467102051;8;9;9;50.0
program_035;0.0;Weakly tested;0.016924619674682617;10;0;0;50.0
program_036;0.0;Weakly tested;0.014093637466430664;10;0;0;50.0
program_038;66.66666666666666;Weakly tested;0.0385594367980957;9;3;2;83.33
program_039;100.0;Well tested;0.03034830093383789;10;2;2;75.0
program_047;0.0;Weakly tested;0.01300668716430664;9;0;0;50.0
program_052;0.0;Weakly tested;0.016280651092529297;10;0;0;66.67
program_055;0.0;Weakly tested;0.022680997848510742;10;0;0;71.43
program_063;100.0;Well tested;0.03176140785217285;10;1;1;83.33
program_064;100.0;Well tested;0.03499484062194824;10;3;3;66.67
program_065;94.11764705882352;Well tested;10.227819919586182;10;17;16;86.67
program_067;85.71428571428571;Well tested;0.07634401321411133;10;7;6;90.0
program_070;100.0;Well tested;0.047666311264038086;10;3;3;85.71
program_072;100.0;Well tested;0.11336755752563477;10;1;1;71.43
program_074;0.0;Weakly tested;0.01573491096496582;10;0;0;66.67
program_075;50.0;Weakly tested;0.03124856948852539;10;2;1;66.67
program_080;100.0;Well tested;0.0314946174621582;10;3;3;88.89
program_082;100.0;Well tested;0.046967506408691406;10;2;2;66.67
program_084;100.0;Well tested;0.043534278869628906;10;1;1;87.5
program_093;100.0;Well tested;0.0312345027923584;10;3;3;83.33
program_096;100.0;Well tested;0.06344342231750488;10;9;9;83.33
program_097;66.66666666666666;Weakly tested;0.04787278175354004;10;3;2;85.71
