Program;Mutation Score;Classification
program_004;100.0;Well tested
program_007;100.0;Well tested
program_014;0;Weakly tested
program_018;100.0;Well tested
program_020;88.88888888888889;Well tested
program_021;94.44444444444444;Well tested
program_023;88.23529411764706;Well tested
program_025;90.0;Well tested
program_026;100.0;Well tested
program_033;100.0;Well tested
program_035;0;Weakly tested
program_036;0;Weakly tested
program_038;66.66666666666666;Weakly tested
program_039;100.0;Well tested
program_047;0;Weakly tested
program_052;0;Weakly tested
program_055;0;Weakly tested
program_063;100.0;Well tested
program_064;100.0;Well tested
program_065;94.11764705882352;Well tested
program_067;85.71428571428571;Well tested
program_070;100.0;Well tested
program_072;100.0;Well tested
program_074;0;Weakly tested
program_075;50.0;Weakly tested
program_080;100.0;Well tested
program_082;100.0;Well tested
program_084;100.0;Well tested
program_093;100.0;Well tested
program_096;100.0;Well tested
program_097;66.66666666666666;Weakly tested
