Program;Total;Killed;Survived;Timeout;Mutation Score (%)
program_004;1;1;0;0;100.0
program_007;1;1;0;0;100.0
program_014;0;0;0;0;0.0
program_018;4;4;0;0;100.0
program_020;9;8;1;0;88.89
program_021;18;17;1;0;94.44
program_023;17;12;2;3;88.24
program_025;10;9;1;0;90.0
program_026;2;2;0;0;100.0
program_033;9;9;0;0;100.0
program_035;0;0;0;0;0.0
program_036;0;0;0;0;0.0
program_038;3;2;1;0;66.67
program_039;2;2;0;0;100.0
program_047;0;0;0;0;0.0
program_052;0;0;0;0;0.0
program_055;0;0;0;0;0.0
program_063;1;1;0;0;100.0
program_064;3;3;0;0;100.0
program_065;17;16;1;0;94.12
program_067;7;6;1;0;85.71
program_070;3;3;0;0;100.0
program_072;1;1;0;0;100.0
program_074;0;0;0;0;0.0
program_075;2;1;1;0;50.0
program_080;3;3;0;0;100.0
program_082;2;2;0;0;100.0
program_084;1;1;0;0;100.0
program_093;3;3;0;0;100.0
program_096;9;9;0;0;100.0
program_097;3;2;1;0;66.67
