Program,Mutation Score,Classification,Total Time (s),Num Mutants
program_004,100.0,Well tested,0.025031566619873047,1
program_007,100.0,Well tested,0.024997472763061523,1
program_014,0.0,Weakly tested,0.009989261627197266,0
program_018,100.0,Well tested,0.03654599189758301,4
program_020,88.88888888888889,Well tested,0.08861899375915527,9
program_021,94.44444444444444,Well tested,0.8632149696350098,18
program_023,88.23529411764706,Well tested,15.2611722946167,17
program_025,90.0,Well tested,0.12147068977355957,10
program_026,100.0,Well tested,0.033156633377075195,2
program_033,100.0,Well tested,0.05605673789978027,9
program_035,0.0,Weakly tested,0.016003131866455078,0
program_036,0.0,Weakly tested,0.012534379959106445,0
program_038,66.66666666666666,Weakly tested,0.03530287742614746,3
program_039,100.0,Well tested,0.027028322219848633,2
program_047,0.0,Weakly tested,0.011670112609863281,0
program_052,0.0,Weakly tested,0.015534400939941406,0
program_055,0.0,Weakly tested,0.023064613342285156,0
program_063,100.0,Well tested,0.02908039093017578,1
program_064,100.0,Well tested,0.03258705139160156,3
program_065,94.11764705882352,Well tested,9.752468585968018,17
program_067,85.71428571428571,Well tested,0.0790097713470459,7
program_070,100.0,Well tested,0.03181290626525879,3
program_072,100.0,Well tested,0.11679840087890625,1
program_074,0.0,Weakly tested,0.015709400177001953,0
program_075,50.0,Weakly tested,0.03134584426879883,2
program_080,100.0,Well tested,0.04205489158630371,3
program_082,100.0,Well tested,0.02513718605041504,2
program_084,100.0,Well tested,0.0413362979888916,1
program_093,100.0,Well tested,0.047720909118652344,3
program_096,100.0,Well tested,0.09033942222595215,9
program_097,66.66666666666666,Weakly tested,0.024116039276123047,3
