Program;Total;Killed;Survived;Timeout;Mutation Score (%)
program_005;3;3;0;0;100.0
program_007;1;1;0;0;100.0
program_009;15;7;5;3;66.67
program_014;0;0;0;0;0.0
program_020;9;8;1;0;88.89
program_023;17;12;2;3;88.24
program_030;14;14;0;0;100.0
program_033;9;9;0;0;100.0
program_036;0;0;0;0;0.0
program_037;1;1;0;0;100.0
program_041;10;10;0;0;100.0
program_051;19;18;1;0;94.74
program_053;0;0;0;0;0.0
program_057;0;0;0;0;0.0
program_060;0;0;0;0;0.0
program_063;1;1;0;0;100.0
program_069;13;13;0;0;100.0
program_071;10;10;0;0;100.0
program_072;1;1;0;0;100.0
program_074;0;0;0;0;0.0
program_075;2;1;1;0;50.0
program_077;6;6;0;0;100.0
program_078;3;3;0;0;100.0
program_079;6;6;0;0;100.0
program_080;3;3;0;0;100.0
program_082;2;2;0;0;100.0
program_083;1;1;0;0;100.0
program_084;1;1;0;0;100.0
program_086;1;1;0;0;100.0
program_087;5;5;0;0;100.0
program_089;15;5;6;4;60.0
program_091;6;6;0;0;100.0
program_092;10;9;0;1;100.0
program_093;3;3;0;0;100.0
program_094;2;2;0;0;100.0
program_095;3;3;0;0;100.0
program_096;9;9;0;0;100.0
program_097;3;2;1;0;66.67
program_099;4;3;0;1;100.0
