Program;Mutation Score;Classification;Test Time (s);Test Suite Size;Num Mutants;Assertion Count;Statement Coverage (%)
program_005;100.0;Well tested;0.03374981880187988;9;3;3;66.67
program_032;100.0;Well tested;1.702218770980835;6;8;8;75.0
program_033;100.0;Well tested;0.054173946380615234;7;9;9;50.0
program_034;100.0;Well tested;0.04682493209838867;7;8;8;50.0
program_035;0.0;Weakly tested;0.01563549041748047;9;0;0;50.0
program_037;100.0;Well tested;0.04232597351074219;9;1;1;50.0
program_038;66.66666666666666;Weakly tested;0.03600454330444336;8;3;2;83.33
program_039;100.0;Well tested;0.030033588409423828;10;2;2;75.0
program_041;100.0;Well tested;0.28478503227233887;8;10;10;87.5
program_042;0.0;Weakly tested;0.020979642868041992;7;0;0;50.0
program_043;0.0;Weakly tested;0.013034343719482422;8;0;0;66.67
program_045;100.0;Well tested;0.04688453674316406;9;3;3;90.0
program_047;0.0;Weakly tested;0.012283563613891602;8;0;0;50.0
program_052;0.0;Weakly tested;0.015689849853515625;8;0;0;66.67
program_055;0.0;Weakly tested;0.015634775161743164;8;0;0;71.43
program_057;0.0;Weakly tested;0.01562786102294922;9;0;0;66.67
program_060;0.0;Weakly tested;0.015694141387939453;6;0;0;66.67
program_061;100.0;Well tested;0.028450727462768555;8;1;1;90.0
program_062;0.0;Weakly tested;0.01563882827758789;11;0;0;66.67
program_063;100.0;Well tested;0.038823843002319336;9;1;1;83.33
program_067;85.71428571428571;Well tested;0.06348586082458496;13;7;6;90.0
program_069;100.0;Well tested;1.5205090045928955;10;13;13;87.5
program_071;100.0;Well tested;0.12061405181884766;6;10;10;94.12
program_072;100.0;Well tested;0.04695463180541992;8;1;1;71.43
program_074;0.0;Weakly tested;0.015658140182495117;9;0;0;66.67
program_075;50.0;Weakly tested;0.038999319076538086;9;2;1;66.67
program_077;100.0;Well tested;0.04717612266540527;7;6;6;66.67
program_084;100.0;Well tested;0.0473790168762207;9;1;1;87.5
program_087;100.0;Well tested;0.2684950828552246;7;5;5;75.0
program_091;100.0;Well tested;0.05759167671203613;10;6;6;85.71
program_092;100.0;Well tested;5.106293201446533;6;10;9;87.5
program_093;100.0;Well tested;0.04231405258178711;10;3;3;83.33
program_095;100.0;Well tested;0.03184223175048828;8;3;3;50.0
program_096;100.0;Well tested;0.07862281799316406;10;9;9;83.33
program_097;66.66666666666666;Weakly tested;0.03165936470031738;10;3;2;85.71
program_099;100.0;Well tested;5.088525772094727;7;4;3;83.33
