Program;Mutation Score;Classification;Test Time (s);Test Suite Size;Num Mutants;Assertion Count;Statement Coverage (%)
program_005;100.0;Well tested;0.02736496925354004;6;3;3;66.67
program_007;100.0;Well tested;0.026957273483276367;8;1;1;66.67
program_009;66.66666666666666;Weakly tested;10.161705493927002;8;15;8;62.5
program_011;100.0;Well tested;0.021164655685424805;8;3;3;50.0
program_014;0.0;Weakly tested;0.015623092651367188;8;0;0;50.0
program_019;100.0;Well tested;0.09415268898010254;8;10;10;87.5
program_020;100.0;Well tested;0.07870745658874512;8;9;9;50.0
program_021;94.44444444444444;Well tested;0.13753294944763184;8;18;17;93.75
program_023;88.23529411764706;Well tested;10.222738265991211;8;17;13;93.33
program_025;90.0;Well tested;0.12404966354370117;8;10;9;95.24
program_027;100.0;Well tested;0.03020167350769043;8;2;2;50.0
program_033;100.0;Well tested;0.05050373077392578;8;9;9;50.0
program_036;0.0;Weakly tested;0.015004873275756836;8;0;0;50.0
program_037;100.0;Well tested;0.020006179809570312;8;1;1;50.0
program_041;100.0;Well tested;0.2829701900482178;8;10;10;87.5
program_047;0.0;Weakly tested;0.011162519454956055;8;0;0;50.0
program_048;100.0;Well tested;0.04943537712097168;8;6;6;66.67
program_053;0.0;Weakly tested;0.009998559951782227;8;0;0;50.0
program_059;100.0;Well tested;0.03126668930053711;8;1;1;66.67
program_063;100.0;Well tested;0.02656841278076172;8;1;1;83.33
program_069;100.0;Well tested;1.4387507438659668;8;13;13;87.5
program_071;100.0;Well tested;0.1104741096496582;8;10;10;94.12
program_075;50.0;Weakly tested;0.029030561447143555;8;2;1;66.67
program_084;100.0;Well tested;0.048207759857177734;8;1;1;87.5
program_086;100.0;Well tested;0.03172183036804199;8;1;1;66.67
program_092;100.0;Well tested;5.105208396911621;8;10;9;87.5
program_093;100.0;Well tested;0.04557323455810547;8;3;3;83.33
program_094;100.0;Well tested;0.037882089614868164;8;2;2;80.0
program_095;100.0;Well tested;0.015545368194580078;8;3;3;50.0
program_097;66.66666666666666;Weakly tested;0.05021500587463379;8;3;2;85.71
program_099;100.0;Well tested;5.057314872741699;8;4;3;83.33
