Program;Mutation Score;Classification
program_005;100.0;Well tested
program_007;100.0;Well tested
program_009;66.66666666666666;Weakly tested
program_011;100.0;Well tested
program_014;0;Weakly tested
program_019;100.0;Well tested
program_020;100.0;Well tested
program_021;94.44444444444444;Well tested
program_023;88.23529411764706;Well tested
program_025;90.0;Well tested
program_027;100.0;Well tested
program_033;100.0;Well tested
program_036;0;Weakly tested
program_037;100.0;Well tested
program_041;100.0;Well tested
program_047;0;Weakly tested
program_048;100.0;Well tested
program_053;0;Weakly tested
program_059;100.0;Well tested
program_063;100.0;Well tested
program_069;100.0;Well tested
program_071;100.0;Well tested
program_075;50.0;Weakly tested
program_084;100.0;Well tested
program_086;100.0;Well tested
program_092;100.0;Well tested
program_093;100.0;Well tested
program_094;100.0;Well tested
program_095;100.0;Well tested
program_097;66.66666666666666;Weakly tested
program_099;100.0;Well tested
