Program,Mutation Score,Classification,Total Time (s),Num Mutants
program_005,100.0,Well tested,0.02736496925354004,3
program_007,100.0,Well tested,0.02507638931274414,1
program_009,66.66666666666666,Weakly tested,10.178998947143555,15
program_011,100.0,Well tested,0.03291487693786621,3
program_014,0.0,Weakly tested,0.011998176574707031,0
program_019,100.0,Well tested,0.10302019119262695,10
program_020,100.0,Well tested,0.08482789993286133,9
program_021,94.44444444444444,Well tested,0.1330888271331787,18
program_023,88.23529411764706,Well tested,10.20381784439087,17
program_025,90.0,Well tested,0.12757325172424316,10
program_027,100.0,Well tested,0.031096935272216797,2
program_033,100.0,Well tested,0.04702138900756836,9
program_036,0.0,Weakly tested,0.0,0
program_037,100.0,Well tested,0.026142358779907227,1
program_041,100.0,Well tested,0.288435697555542,10
program_047,0.0,Weakly tested,0.011006832122802734,0
program_048,100.0,Well tested,0.06261682510375977,6
program_053,0.0,Weakly tested,0.02363729476928711,0
program_059,100.0,Well tested,0.01566004753112793,1
program_063,100.0,Well tested,0.03755664825439453,1
program_069,100.0,Well tested,1.4381399154663086,13
program_071,100.0,Well tested,0.10227322578430176,10
program_075,50.0,Weakly tested,0.016489267349243164,2
program_084,100.0,Well tested,0.03266739845275879,1
program_086,100.0,Well tested,0.021097660064697266,1
program_092,100.0,Well tested,5.1154303550720215,10
program_093,100.0,Well tested,0.03972887992858887,3
program_094,100.0,Well tested,0.024768829345703125,2
program_095,100.0,Well tested,0.027137041091918945,3
program_097,66.66666666666666,Weakly tested,0.046433448791503906,3
program_099,100.0,Well tested,5.089569091796875,4
