Program;Mutation Score;Classification
program_005;100.0;Well tested
program_006;0.0;Weakly tested
program_007;100.0;Well tested
program_014;0;Weakly tested
program_020;88.88888888888889;Well tested
program_023;88.23529411764706;Well tested
program_024;100.0;Well tested
program_025;90.0;Well tested
program_027;100.0;Well tested
program_033;100.0;Well tested
program_034;100.0;Well tested
program_036;0;Weakly tested
program_037;100.0;Well tested
program_042;0;Weakly tested
program_043;0;Weakly tested
program_044;100.0;Well tested
program_045;100.0;Well tested
program_047;0;Weakly tested
program_048;100.0;Well tested
program_051;89.47368421052632;Well tested
program_052;0;Weakly tested
program_053;0;Weakly tested
program_055;0;Weakly tested
program_056;100.0;Well tested
program_057;0;Weakly tested
program_059;100.0;Well tested
program_060;0;Weakly tested
program_061;100.0;Well tested
program_062;0;Weakly tested
program_063;100.0;Well tested
program_069;100.0;Well tested
program_072;100.0;Well tested
program_074;0;Weakly tested
program_075;50.0;Weakly tested
program_077;83.33333333333334;Well tested
program_078;100.0;Well tested
program_079;100.0;Well tested
program_080;100.0;Well tested
program_082;100.0;Well tested
program_083;100.0;Well tested
program_084;100.0;Well tested
program_087;100.0;Well tested
program_092;100.0;Well tested
program_093;100.0;Well tested
program_095;100.0;Well tested
program_096;100.0;Well tested
program_099;100.0;Well tested
