Program;Mutation Score;Classification;Test Time (s);Test Suite Size;Num Mutants;Assertion Count;Statement Coverage (%)
program_003;87.5;Well tested;0.04568743705749512;10;8;7;50.0
program_005;100.0;Well tested;0.030379056930541992;6;3;3;66.67
program_007;100.0;Well tested;0.031063079833984375;10;1;1;66.67
program_009;100.0;Well tested;296.2052249908447;7;2;2;62.5
program_014;0.0;Weakly tested;0.01006007194519043;8;0;0;50.0
program_019;100.0;Well tested;0.10736513137817383;8;10;10;87.5
program_020;77.77777777777779;Weakly tested;0.07980656623840332;10;9;7;50.0
program_021;94.44444444444444;Well tested;5.18608832359314;10;18;16;93.75
program_023;88.23529411764706;Well tested;20.316694021224976;9;17;11;93.33
program_024;100.0;Well tested;0.03190279006958008;9;3;3;75.0
program_025;90.0;Well tested;0.1303713321685791;9;10;9;95.24
program_027;100.0;Well tested;0.023092985153198242;5;2;2;50.0
program_029;90.0;Well tested;0.04474043846130371;8;10;9;50.0
program_033;100.0;Well tested;0.04898428916931152;8;9;9;50.0
program_036;0.0;Weakly tested;0.011664390563964844;9;0;0;50.0
program_037;100.0;Well tested;0.021007537841796875;10;1;1;50.0
program_041;100.0;Well tested;0.2725396156311035;9;10;10;87.5
program_048;100.0;Well tested;0.04788398742675781;9;6;6;66.67
program_051;89.47368421052632;Well tested;0.5508937835693359;9;19;17;83.33
program_053;0.0;Weakly tested;0.015079259872436523;8;0;0;50.0
program_057;0.0;Weakly tested;0.015617847442626953;8;0;0;66.67
program_060;0.0;Weakly tested;0.0;5;0;0;66.67
program_063;100.0;Well tested;0.030806779861450195;8;1;1;83.33
program_069;100.0;Well tested;1.4094326496124268;9;13;13;87.5
program_070;100.0;Well tested;0.0472865104675293;8;3;3;85.71
program_071;100.0;Well tested;0.11141300201416016;6;10;10;94.12
program_074;0.0;Weakly tested;0.015174627304077148;9;0;0;66.67
program_075;50.0;Weakly tested;0.03256392478942871;9;2;1;66.67
program_078;100.0;Well tested;0.039174795150756836;7;3;3;75.0
program_084;100.0;Well tested;0.0474400520324707;9;1;1;87.5
program_085;45.0;Weakly tested;0.10758256912231445;9;20;9;85.71
program_086;100.0;Well tested;0.03180956840515137;9;1;1;66.67
program_092;100.0;Well tested;5.095823764801025;9;10;9;87.5
program_093;100.0;Well tested;0.03188776969909668;9;3;3;83.33
program_094;100.0;Well tested;0.04092741012573242;5;2;2;80.0
program_095;100.0;Well tested;0.03335833549499512;6;3;3;50.0
program_099;100.0;Well tested;5.096505165100098;9;4;3;83.33
