Program;Mutation Score;Classification;Test Time (s);Test Suite Size;Num Mutants;Assertion Count;Statement Coverage (%)
program_002;0.0;Weakly tested;0.0130157470703125;3;0;0;66.67
program_003;87.5;Well tested;0.045015811920166016;3;8;7;50.0
program_004;100.0;Well tested;0.02496027946472168;3;1;1;66.67
program_005;100.0;Well tested;0.0294342041015625;3;3;3;66.67
program_007;100.0;Well tested;0.02653646469116211;3;1;1;66.67
program_008;57.14285714285714;Weakly tested;5.131407260894775;3;14;7;76.92
program_009;100.0;Well tested;10.165606260299683;3;15;13;75.0
program_010;100.0;Well tested;0.05374431610107422;3;4;4;85.71
program_011;100.0;Well tested;0.03085780143737793;3;3;3;50.0
program_012;100.0;Well tested;0.04794597625732422;3;10;10;50.0
program_013;100.0;Well tested;0.07930445671081543;3;9;9;81.82
program_014;0.0;Weakly tested;0.011060237884521484;3;0;0;50.0
program_015;100.0;Well tested;0.0276796817779541;3;1;1;75.0
program_016;0.0;Weakly tested;0.013621807098388672;3;0;0;66.67
program_018;75.0;Weakly tested;0.03461408615112305;3;4;3;83.33
program_019;100.0;Well tested;0.10465049743652344;3;10;10;87.5
program_020;100.0;Well tested;0.0743710994720459;3;9;9;50.0
program_021;94.44444444444444;Well tested;5.204138994216919;3;18;16;75.0
program_022;80.0;Well tested;0.061150550842285156;3;5;4;80.0
program_023;88.23529411764706;Well tested;10.216906309127808;3;17;13;93.33
program_024;100.0;Well tested;0.026746034622192383;3;3;3;75.0
program_025;90.0;Well tested;0.1270744800567627;3;10;9;90.48
program_026;100.0;Well tested;0.031244993209838867;3;2;2;66.67
program_027;100.0;Well tested;0.02331256866455078;3;2;2;50.0
program_028;100.0;Well tested;0.031246423721313477;3;3;3;83.33
program_029;90.0;Well tested;0.05540895462036133;3;10;9;50.0
program_030;100.0;Well tested;0.07821965217590332;3;14;14;50.0
program_031;88.88888888888889;Well tested;0.09586858749389648;3;9;8;75.0
program_032;100.0;Well tested;1.1928791999816895;3;8;8;75.0
program_033;100.0;Well tested;0.03687906265258789;3;9;9;50.0
