Program;Mutation Score;Classification;Test Time (s);Test Suite Size;Num Mutants;Assertion Count;Statement Coverage (%)
program_007;100.0;Well tested;0.02404165267944336;5;1;1;66.67
program_008;85.71428571428571;Well tested;5.129108190536499;6;14;11;92.31
program_009;100.0;Well tested;15.178209066390991;6;15;12;75.0
program_010;100.0;Well tested;0.04457497596740723;6;4;4;85.71
program_011;100.0;Well tested;0.025627613067626953;6;3;3;50.0
program_012;100.0;Well tested;0.058331966400146484;4;10;10;50.0
program_013;100.0;Well tested;0.07640647888183594;6;9;9;81.82
program_014;0.0;Weakly tested;0.011601924896240234;5;0;0;50.0
program_015;100.0;Well tested;0.04732656478881836;5;1;1;75.0
program_016;0.0;Weakly tested;0.016993045806884766;5;0;0;66.67
program_018;100.0;Well tested;0.03827834129333496;6;4;4;83.33
program_019;100.0;Well tested;0.11019110679626465;4;10;10;87.5
program_020;100.0;Well tested;0.06834936141967773;7;9;9;50.0
program_022;80.0;Well tested;0.04532313346862793;6;5;4;80.0
program_023;88.23529411764706;Well tested;10.227270126342773;7;17;13;93.33
program_024;100.0;Well tested;0.03176259994506836;5;3;3;75.0
program_025;90.0;Well tested;0.1225593090057373;6;10;9;90.48
program_027;100.0;Well tested;0.03478407859802246;5;2;2;50.0
program_029;90.0;Well tested;0.05123615264892578;5;10;9;50.0
program_030;100.0;Well tested;0.07591724395751953;5;14;14;50.0
program_033;100.0;Well tested;0.047571659088134766;5;9;9;50.0
program_034;100.0;Well tested;0.03641963005065918;5;8;8;50.0
program_035;0.0;Weakly tested;0.016130924224853516;5;0;0;50.0
program_036;0.0;Weakly tested;0.0005710124969482422;5;0;0;50.0
program_037;100.0;Well tested;0.03152871131896973;5;1;1;50.0
program_038;66.66666666666666;Weakly tested;0.047338247299194336;7;3;2;83.33
program_039;100.0;Well tested;0.016738414764404297;7;2;2;75.0
program_041;100.0;Well tested;0.015506267547607422;8;1;1;50.0
program_042;100.0;Well tested;0.03167986869812012;6;2;2;75.0
program_043;100.0;Well tested;0.031612396240234375;6;2;2;75.0
program_044;100.0;Well tested;10.158262252807617;6;18;16;90.0
program_045;0.0;Weakly tested;0.02213454246520996;6;0;0;50.0
program_046;100.0;Well tested;0.03125119209289551;6;5;5;80.0
program_047;0.0;Weakly tested;0.010061502456665039;6;0;0;50.0
program_048;100.0;Well tested;0.06257987022399902;6;6;6;66.67
program_051;89.47368421052632;Well tested;0.32511091232299805;6;19;17;83.33
program_052;0.0;Weakly tested;0.025744915008544922;5;0;0;66.67
program_053;0.0;Weakly tested;0.015690326690673828;5;0;0;50.0
program_055;0.0;Weakly tested;0.03491544723510742;5;0;0;71.43
program_056;100.0;Well tested;0.03125190734863281;6;3;3;83.33
program_057;0.0;Weakly tested;0.012174367904663086;5;0;0;66.67
program_058;88.88888888888889;Well tested;0.0765678882598877;7;9;8;88.89
program_059;100.0;Well tested;0.025998830795288086;3;1;1;66.67
program_060;0.0;Weakly tested;0.014406919479370117;5;0;0;66.67
program_062;0.0;Weakly tested;0.011981487274169922;5;0;0;66.67
program_063;100.0;Well tested;0.02865767478942871;5;1;1;83.33
program_064;100.0;Well tested;0.031241655349731445;6;3;3;66.67
program_065;88.23529411764706;Well tested;6.063364267349243;7;17;15;86.67
program_067;85.71428571428571;Well tested;0.060513973236083984;5;7;6;90.0
program_068;100.0;Well tested;0.05150032043457031;5;7;7;83.33
program_069;100.0;Well tested;1.3566534519195557;5;13;13;87.5
program_071;100.0;Well tested;0.11337113380432129;6;10;10;94.12
program_072;100.0;Well tested;0.03195810317993164;5;1;1;71.43
program_074;0.0;Weakly tested;0.01611495018005371;5;0;0;66.67
program_075;50.0;Weakly tested;0.031245708465576172;5;2;1;66.67
program_076;100.0;Well tested;0.03182649612426758;5;7;7;50.0
program_077;83.33333333333334;Well tested;0.041893959045410156;6;6;5;66.67
program_078;100.0;Well tested;0.03131604194641113;5;3;3;75.0
program_079;100.0;Well tested;0.046935319900512695;5;6;6;66.67
program_080;100.0;Well tested;0.0434880256652832;7;3;3;88.89
program_082;100.0;Well tested;0.03536391258239746;7;2;2;66.67
program_083;100.0;Well tested;0.016304969787597656;7;1;1;75.0
program_084;100.0;Well tested;0.03185081481933594;7;1;1;87.5
program_086;100.0;Well tested;0.016093969345092773;8;1;1;66.67
program_091;100.0;Well tested;0.05684971809387207;6;6;6;85.71
program_092;100.0;Well tested;5.103235244750977;7;10;9;87.5
program_093;100.0;Well tested;0.030622005462646484;5;3;3;83.33
program_095;100.0;Well tested;0.028191089630126953;4;3;3;50.0
program_096;100.0;Well tested;0.06437063217163086;5;9;9;83.33
program_097;66.66666666666666;Weakly tested;0.03473615646362305;5;3;2;85.71
program_099;100.0;Well tested;5.0673511028289795;5;4;3;83.33
