Program;Mutation Score;Classification
program_007;100.0;Well tested
program_008;85.71428571428571;Well tested
program_009;100.0;Well tested
program_010;100.0;Well tested
program_011;100.0;Well tested
program_012;100.0;Well tested
program_013;100.0;Well tested
program_014;0;Weakly tested
program_015;100.0;Well tested
program_016;0;Weakly tested
program_018;100.0;Well tested
program_019;100.0;Well tested
program_020;100.0;Well tested
program_022;80.0;Well tested
program_023;88.23529411764706;Well tested
program_024;100.0;Well tested
program_025;90.0;Well tested
program_027;100.0;Well tested
program_029;90.0;Well tested
program_030;100.0;Well tested
program_033;100.0;Well tested
program_034;100.0;Well tested
program_035;0;Weakly tested
program_036;0;Weakly tested
program_037;100.0;Well tested
program_038;66.66666666666666;Weakly tested
program_039;100.0;Well tested
program_041;100.0;Well tested
program_042;100.0;Well tested
program_043;100.0;Well tested
program_044;100.0;Well tested
program_045;0;Weakly tested
program_046;100.0;Well tested
program_047;0;Weakly tested
program_048;100.0;Well tested
program_051;89.47368421052632;Well tested
program_052;0;Weakly tested
program_053;0;Weakly tested
program_055;0;Weakly tested
program_056;100.0;Well tested
program_057;0;Weakly tested
program_058;88.88888888888889;Well tested
program_059;100.0;Well tested
program_060;0;Weakly tested
program_062;0;Weakly tested
program_063;100.0;Well tested
program_064;100.0;Well tested
program_065;88.23529411764706;Well tested
program_067;85.71428571428571;Well tested
program_068;100.0;Well tested
program_069;100.0;Well tested
program_071;100.0;Well tested
program_072;100.0;Well tested
program_074;0;Weakly tested
program_075;50.0;Weakly tested
program_076;100.0;Well tested
program_077;83.33333333333334;Well tested
program_078;100.0;Well tested
program_079;100.0;Well tested
program_080;100.0;Well tested
program_082;100.0;Well tested
program_083;100.0;Well tested
program_084;100.0;Well tested
program_086;100.0;Well tested
program_091;100.0;Well tested
program_092;100.0;Well tested
program_093;100.0;Well tested
program_095;100.0;Well tested
program_096;100.0;Well tested
program_097;66.66666666666666;Weakly tested
program_099;100.0;Well tested
