Program;Total;Killed;Survived;Timeout;Mutation Score (%)
program_007;1;1;0;0;100.0
program_008;14;11;2;1;85.71
program_009;15;12;0;3;100.0
program_010;4;4;0;0;100.0
program_011;3;3;0;0;100.0
program_012;10;10;0;0;100.0
program_013;9;9;0;0;100.0
program_014;0;0;0;0;0.0
program_015;1;1;0;0;100.0
program_016;0;0;0;0;0.0
program_018;4;4;0;0;100.0
program_019;10;10;0;0;100.0
program_020;9;9;0;0;100.0
program_022;5;4;1;0;80.0
program_023;17;13;2;2;88.24
program_024;3;3;0;0;100.0
program_025;10;9;1;0;90.0
program_027;2;2;0;0;100.0
program_029;10;9;1;0;90.0
program_030;14;14;0;0;100.0
program_033;9;9;0;0;100.0
program_034;8;8;0;0;100.0
program_035;0;0;0;0;0.0
program_036;0;0;0;0;0.0
program_037;1;1;0;0;100.0
program_038;3;2;1;0;66.67
program_039;2;2;0;0;100.0
program_041;1;1;0;0;100.0
program_042;2;2;0;0;100.0
program_043;2;2;0;0;100.0
program_044;18;16;0;2;100.0
program_045;0;0;0;0;0.0
program_046;5;5;0;0;100.0
program_047;0;0;0;0;0.0
program_048;6;6;0;0;100.0
program_051;19;17;2;0;89.47
program_052;0;0;0;0;0.0
program_053;0;0;0;0;0.0
program_055;0;0;0;0;0.0
program_056;3;3;0;0;100.0
program_057;0;0;0;0;0.0
program_058;9;8;1;0;88.89
program_059;1;1;0;0;100.0
program_060;0;0;0;0;0.0
program_062;0;0;0;0;0.0
program_063;1;1;0;0;100.0
program_064;3;3;0;0;100.0
program_065;17;15;2;0;88.24
program_067;7;6;1;0;85.71
program_068;7;7;0;0;100.0
program_069;13;13;0;0;100.0
program_071;10;10;0;0;100.0
program_072;1;1;0;0;100.0
program_074;0;0;0;0;0.0
program_075;2;1;1;0;50.0
program_076;7;7;0;0;100.0
program_077;6;5;1;0;83.33
program_078;3;3;0;0;100.0
program_079;6;6;0;0;100.0
program_080;3;3;0;0;100.0
program_082;2;2;0;0;100.0
program_083;1;1;0;0;100.0
program_084;1;1;0;0;100.0
program_086;1;1;0;0;100.0
program_091;6;6;0;0;100.0
program_092;10;9;0;1;100.0
program_093;3;3;0;0;100.0
program_095;3;3;0;0;100.0
program_096;9;9;0;0;100.0
program_097;3;2;1;0;66.67
program_099;4;3;0;1;100.0
