Program;Mutation Score;Classification;Test Time (s);Test Suite Size;Num Mutants;Assertion Count;Statement Coverage (%)
program_001;0.0;Weakly tested;0.0;1;3;0;0.0
program_002;0.0;Weakly tested;0.012547016143798828;1;0;0;66.67
program_004;100.0;Well tested;0.02678203582763672;2;1;1;0.0
program_006;0.0;Weakly tested;0.0;1;1;0;0.0
program_007;100.0;Well tested;0.02429938316345215;1;1;1;66.67
program_013;0.0;Weakly tested;0.0704202651977539;1;9;0;54.55
program_017;0.0;Weakly tested;0.0;1;3;0;0.0
program_018;100.0;Well tested;0.0479581356048584;2;4;4;0.0
program_020;55.55555555555556;Weakly tested;0.09523129463195801;3;9;5;0.0
program_022;40.0;Weakly tested;0.04833364486694336;1;5;2;50.0
program_024;100.0;Well tested;0.0280759334564209;1;3;3;75.0
program_025;90.0;Well tested;0.1339423656463623;3;10;9;0.0
program_026;0.0;Weakly tested;0.0;1;1;0;66.67
program_031;22.22222222222222;Weakly tested;0.0711679458618164;1;9;2;50.0
program_036;0.0;Weakly tested;0.014013051986694336;1;0;0;50.0
program_040;100.0;Well tested;0.060803890228271484;3;6;6;0.0
program_041;40.0;Weakly tested;0.057535409927368164;1;10;4;50.0
program_045;0.0;Weakly tested;0.04435420036315918;1;3;0;40.0
program_046;60.0;Weakly tested;0.03857827186584473;1;5;3;80.0
program_050;100.0;Well tested;0.025002479553222656;1;1;1;66.67
program_052;0.0;Weakly tested;0.015997648239135742;1;0;0;66.67
program_053;0.0;Weakly tested;0.009251594543457031;1;0;0;50.0
program_056;66.66666666666666;Weakly tested;0.03883528709411621;1;3;2;66.67
program_058;77.77777777777779;Weakly tested;0.08668398857116699;2;9;7;0.0
program_059;0.0;Weakly tested;0.031436920166015625;2;1;0;0.0
program_061;0.0;Weakly tested;0.04589247703552246;1;1;0;30.0
program_063;100.0;Well tested;0.023734569549560547;2;1;1;0.0
program_067;57.14285714285714;Weakly tested;0.05318331718444824;2;7;4;0.0
program_068;42.85714285714285;Weakly tested;0.05511665344238281;2;7;3;0.0
program_069;0.0;Weakly tested;0.0;1;9;0;50.0
program_070;66.66666666666666;Weakly tested;0.0372769832611084;1;3;2;85.71
program_072;0.0;Weakly tested;0.03202414512634277;1;1;0;71.43
program_073;0.0;Weakly tested;0.07875776290893555;1;12;0;41.67
program_074;0.0;Weakly tested;0.015687942504882812;1;0;0;66.67
program_075;50.0;Weakly tested;0.030172348022460938;2;2;1;0.0
program_077;83.33333333333334;Well tested;0.059824228286743164;1;6;5;66.67
program_080;0.0;Weakly tested;0.0423281192779541;1;3;0;44.44
program_082;0.0;Weakly tested;0.0388028621673584;1;2;0;66.67
program_083;100.0;Well tested;0.03124523162841797;1;1;1;50.0
program_084;0.0;Weakly tested;0.03083658218383789;1;1;0;87.5
program_086;100.0;Well tested;0.031785011291503906;1;1;1;66.67
program_090;0.0;Weakly tested;0.05959439277648926;1;7;0;50.0
program_091;100.0;Well tested;0.06532835960388184;2;6;6;0.0
program_093;100.0;Well tested;0.04292607307434082;2;3;3;0.0
program_094;0.0;Weakly tested;0.03236746788024902;1;2;0;60.0
program_096;44.44444444444444;Weakly tested;0.07287073135375977;4;9;4;0.0
program_097;66.66666666666666;Weakly tested;0.04394721984863281;3;3;2;0.0
program_100;0.0;Weakly tested;0.039890289306640625;1;4;0;50.0
