Program;Mutation Score;Classification
program_001;0.0;Weakly tested
program_002;0;Weakly tested
program_004;100.0;Well tested
program_006;0.0;Weakly tested
program_007;100.0;Well tested
program_013;0.0;Weakly tested
program_017;0.0;Weakly tested
program_018;100.0;Well tested
program_020;55.55555555555556;Weakly tested
program_022;40.0;Weakly tested
program_024;100.0;Well tested
program_025;90.0;Well tested
program_026;0.0;Weakly tested
program_031;22.22222222222222;Weakly tested
program_036;0;Weakly tested
program_040;100.0;Well tested
program_041;40.0;Weakly tested
program_045;0.0;Weakly tested
program_046;60.0;Weakly tested
program_050;100.0;Well tested
program_052;0;Weakly tested
program_053;0;Weakly tested
program_056;66.66666666666666;Weakly tested
program_058;77.77777777777779;Weakly tested
program_059;0.0;Weakly tested
program_061;0.0;Weakly tested
program_063;100.0;Well tested
program_067;57.14285714285714;Weakly tested
program_068;42.857142857142854;Weakly tested
program_069;0.0;Weakly tested
program_070;66.66666666666666;Weakly tested
program_072;0.0;Weakly tested
program_073;0.0;Weakly tested
program_074;0;Weakly tested
program_075;50.0;Weakly tested
program_077;83.33333333333334;Well tested
program_080;0.0;Weakly tested
program_082;0.0;Weakly tested
program_083;100.0;Well tested
program_084;0.0;Weakly tested
program_086;100.0;Well tested
program_090;0.0;Weakly tested
program_091;100.0;Well tested
program_093;100.0;Well tested
program_094;0.0;Weakly tested
program_096;44.44444444444444;Weakly tested
program_097;66.66666666666666;Weakly tested
program_100;0.0;Weakly tested
