Program;Total;Killed;Survived;Timeout;Mutation Score (%)
program_001;3;1;1;0;0.0
program_002;0;0;0;0;0.0
program_004;1;1;0;0;100.0
program_006;1;0;0;0;0.0
program_007;1;1;0;0;100.0
program_013;9;0;9;0;0.0
program_017;3;1;1;0;0.0
program_018;4;4;0;0;100.0
program_020;9;5;4;0;55.56
program_022;5;2;3;0;40.0
program_024;3;3;0;0;100.0
program_025;10;9;1;0;90.0
program_026;1;0;0;0;0.0
program_031;9;2;7;0;22.22
program_036;0;0;0;0;0.0
program_040;6;6;0;0;100.0
program_041;10;4;6;0;40.0
program_045;3;0;3;0;0.0
program_046;5;3;2;0;60.0
program_050;1;1;0;0;100.0
program_052;0;0;0;0;0.0
program_053;0;0;0;0;0.0
program_056;3;2;1;0;66.67
program_058;9;7;2;0;77.78
program_059;1;0;1;0;0.0
program_061;1;0;1;0;0.0
program_063;1;1;0;0;100.0
program_067;7;4;3;0;57.14
program_068;7;3;4;0;42.86
program_069;9;2;6;0;0.0
program_070;3;2;1;0;66.67
program_072;1;0;1;0;0.0
program_073;12;0;12;0;0.0
program_074;0;0;0;0;0.0
program_075;2;1;1;0;50.0
program_077;6;5;1;0;83.33
program_080;3;0;3;0;0.0
program_082;2;0;2;0;0.0
program_083;1;1;0;0;100.0
program_084;1;0;1;0;0.0
program_086;1;1;0;0;100.0
program_090;7;0;7;0;0.0
program_091;6;6;0;0;100.0
program_093;3;3;0;0;100.0
program_094;2;0;2;0;0.0
program_096;9;4;5;0;44.44
program_097;3;2;1;0;66.67
program_100;4;0;4;0;0.0
