Program;Mutation Score;Classification;Test Time (s);Test Suite Size;Num Mutants;Assertion Count;Statement Coverage (%)
program_004;100.0;Well tested;0.01564311981201172;9;1;1;66.67
program_005;100.0;Well tested;0.031598567962646484;5;3;3;66.67
program_007;100.0;Well tested;0.1099247932434082;8;1;1;66.67
program_009;46.66666666666666;Weakly tested;20.233518362045288;7;15;3;75.0
program_014;0.0;Weakly tested;0.005005598068237305;9;0;0;50.0
program_015;100.0;Well tested;0.031839847564697266;7;1;1;75.0
program_016;0.0;Weakly tested;0.015019893646240234;7;0;0;66.67
program_018;100.0;Well tested;0.03221559524536133;8;4;4;83.33
program_020;100.0;Well tested;0.06809020042419434;9;9;9;50.0
program_021;94.44444444444444;Well tested;0.1355595588684082;9;18;17;93.75
program_022;80.0;Well tested;0.053525447845458984;7;5;4;80.0
program_023;88.23529411764706;Well tested;15.261605024337769;9;17;12;93.33
program_024;100.0;Well tested;0.029515981674194336;7;3;3;75.0
program_025;90.0;Well tested;0.1291818618774414;9;10;9;95.24
program_026;100.0;Well tested;0.03582906723022461;7;2;2;66.67
program_027;100.0;Well tested;0.025072574615478516;8;2;2;50.0
program_033;100.0;Well tested;0.06570148468017578;6;9;9;50.0
program_034;100.0;Well tested;0.061658620834350586;8;8;8;50.0
program_035;0.0;Weakly tested;0.03133988380432129;7;0;0;50.0
program_036;0.0;Weakly tested;0.00955343246459961;8;0;0;50.0
program_037;100.0;Well tested;0.021672487258911133;6;1;1;50.0
program_038;66.66666666666666;Weakly tested;0.04729175567626953;7;3;2;83.33
program_039;100.0;Well tested;0.026609420776367188;9;2;2;75.0
program_041;100.0;Well tested;0.2791755199432373;8;10;10;87.5
program_042;0.0;Weakly tested;0.015697240829467773;8;0;0;50.0
program_043;0.0;Weakly tested;0.015563249588012695;7;0;0;66.67
program_045;100.0;Well tested;0.04790830612182617;8;3;3;90.0
program_047;0.0;Weakly tested;0.012297868728637695;7;0;0;50.0
program_048;100.0;Well tested;0.04933571815490723;8;6;6;66.67
program_053;0.0;Weakly tested;0.01740407943725586;7;0;0;50.0
program_057;0.0;Weakly tested;0.014314413070678711;8;0;0;66.67
program_059;100.0;Well tested;0.016243696212768555;6;1;1;66.67
program_074;0.0;Weakly tested;0.01501011848449707;7;0;0;66.67
program_075;50.0;Weakly tested;0.023331642150878906;7;2;1;66.67
program_077;100.0;Well tested;0.04733562469482422;7;6;6;66.67
program_086;100.0;Well tested;0.03221940994262695;7;1;1;66.67
program_093;100.0;Well tested;0.056142568588256836;7;3;3;83.33
program_097;66.66666666666666;Weakly tested;0.031249284744262695;7;3;2;85.71
program_099;100.0;Well tested;10.129089593887329;9;4;2;83.33
