Program;Mutation Score;Classification
program_004;100.0;Well tested
program_005;100.0;Well tested
program_007;100.0;Well tested
program_009;46.666666666666664;Weakly tested
program_014;0;Weakly tested
program_015;100.0;Well tested
program_016;0;Weakly tested
program_018;100.0;Well tested
program_020;100.0;Well tested
program_021;94.44444444444444;Well tested
program_022;80.0;Well tested
program_023;88.23529411764706;Well tested
program_024;100.0;Well tested
program_025;90.0;Well tested
program_026;100.0;Well tested
program_027;100.0;Well tested
program_033;100.0;Well tested
program_034;100.0;Well tested
program_035;0;Weakly tested
program_036;0;Weakly tested
program_037;100.0;Well tested
program_038;66.66666666666666;Weakly tested
program_039;100.0;Well tested
program_041;100.0;Well tested
program_042;0;Weakly tested
program_043;0;Weakly tested
program_045;100.0;Well tested
program_047;0;Weakly tested
program_048;100.0;Well tested
program_053;0;Weakly tested
program_057;0;Weakly tested
program_059;100.0;Well tested
program_074;0;Weakly tested
program_075;50.0;Weakly tested
program_077;100.0;Well tested
program_086;100.0;Well tested
program_093;100.0;Well tested
program_097;66.66666666666666;Weakly tested
program_099;100.0;Well tested
