Program;Total;Killed;Survived;Timeout;Mutation Score (%)
program_004;1;1;0;0;100.0
program_005;3;3;0;0;100.0
program_007;1;1;0;0;100.0
program_009;15;3;8;4;46.67
program_014;0;0;0;0;0.0
program_015;1;1;0;0;100.0
program_016;0;0;0;0;0.0
program_018;4;4;0;0;100.0
program_020;9;9;0;0;100.0
program_021;18;17;1;0;94.44
program_022;5;4;1;0;80.0
program_023;17;12;2;3;88.24
program_024;3;3;0;0;100.0
program_025;10;9;1;0;90.0
program_026;2;2;0;0;100.0
program_027;2;2;0;0;100.0
program_033;9;9;0;0;100.0
program_034;8;8;0;0;100.0
program_035;0;0;0;0;0.0
program_036;0;0;0;0;0.0
program_037;1;1;0;0;100.0
program_038;3;2;1;0;66.67
program_039;2;2;0;0;100.0
program_041;10;10;0;0;100.0
program_042;0;0;0;0;0.0
program_043;0;0;0;0;0.0
program_045;3;3;0;0;100.0
program_047;0;0;0;0;0.0
program_048;6;6;0;0;100.0
program_053;0;0;0;0;0.0
program_057;0;0;0;0;0.0
program_059;1;1;0;0;100.0
program_074;0;0;0;0;0.0
program_075;2;1;1;0;50.0
program_077;6;6;0;0;100.0
program_086;1;1;0;0;100.0
program_093;3;3;0;0;100.0
program_097;3;2;1;0;66.67
program_099;4;2;0;2;100.0
