Program,Mutation Score,Classification,Total Time (s),Num Mutants
program_004,100.0,Well tested,0.03163552284240723,1
program_005,100.0,Well tested,0.03294944763183594,3
program_007,100.0,Well tested,0.09657526016235352,1
program_009,46.66666666666666,Weakly tested,20.203245878219604,15
program_014,0.0,Weakly tested,0.017954111099243164,0
program_015,100.0,Well tested,0.03176307678222656,1
program_016,0.0,Weakly tested,0.0,0
program_018,100.0,Well tested,0.04900193214416504,4
program_020,100.0,Well tested,0.06278467178344727,9
program_021,94.44444444444444,Well tested,0.1259136199951172,18
program_022,80.0,Well tested,0.06285810470581055,5
program_023,88.23529411764706,Well tested,15.223131895065308,17
program_024,100.0,Well tested,0.030000686645507812,3
program_025,90.0,Well tested,0.12853074073791504,10
program_026,100.0,Well tested,0.03168678283691406,2
program_027,100.0,Well tested,0.02495265007019043,2
program_033,100.0,Well tested,0.06570148468017578,9
program_034,100.0,Well tested,0.061658620834350586,8
program_035,0.0,Weakly tested,0.01774430274963379,0
program_036,0.0,Weakly tested,0.013095855712890625,0
program_037,100.0,Well tested,0.020166397094726562,1
program_038,66.66666666666666,Weakly tested,0.03607535362243652,3
program_039,100.0,Well tested,0.027515172958374023,2
program_041,100.0,Well tested,0.2917346954345703,10
program_042,0.0,Weakly tested,0.004973411560058594,0
program_043,0.0,Weakly tested,0.018660545349121094,0
program_045,100.0,Well tested,0.04724240303039551,3
program_047,0.0,Weakly tested,0.011115074157714844,0
program_048,100.0,Well tested,0.06355404853820801,6
program_053,0.0,Weakly tested,0.0,0
program_057,0.0,Weakly tested,0.014314413070678711,0
program_059,100.0,Well tested,0.03194022178649902,1
program_074,0.0,Weakly tested,0.016743183135986328,0
program_075,50.0,Weakly tested,0.032835960388183594,2
program_077,100.0,Well tested,0.056128740310668945,6
program_086,100.0,Well tested,0.026241302490234375,1
program_093,100.0,Well tested,0.03727412223815918,3
program_097,66.66666666666666,Weakly tested,0.029697656631469727,3
program_099,100.0,Well tested,10.138704061508179,4
