Program;Mutation Score;Classification;Test Time (s);Test Suite Size;Num Mutants;Assertion Count;Statement Coverage (%)
program_003;100.0;Well tested;0.0633535385131836;5;8;8;50.0
program_005;100.0;Well tested;0.03185701370239258;6;3;3;66.67
program_007;100.0;Well tested;0.02991652488708496;6;1;1;66.67
program_008;85.71428571428571;Well tested;5.140549421310425;6;14;11;92.31
program_009;66.66666666666666;Weakly tested;10.160114288330078;6;15;8;62.5
program_014;0.0;Weakly tested;0.0;5;0;0;50.0
program_019;100.0;Well tested;0.1105813980102539;5;10;10;87.5
program_020;77.77777777777779;Weakly tested;0.071014404296875;8;9;7;50.0
program_023;88.23529411764706;Well tested;20.274800300598145;8;17;11;93.33
program_024;100.0;Well tested;0.02179265022277832;8;3;3;75.0
program_027;100.0;Well tested;0.0316007137298584;7;2;2;50.0
program_029;90.0;Well tested;0.046938180923461914;6;10;9;50.0
program_030;100.0;Well tested;0.07898426055908203;7;14;14;50.0
program_033;100.0;Well tested;0.06259036064147949;7;9;9;50.0
program_034;100.0;Well tested;0.031810760498046875;7;8;8;50.0
program_035;0.0;Weakly tested;0.027471303939819336;10;0;0;50.0
program_036;0.0;Weakly tested;0.016020536422729492;10;0;0;50.0
program_037;100.0;Well tested;0.031984806060791016;8;1;1;50.0
program_038;66.66666666666666;Weakly tested;0.04884600639343262;14;3;2;83.33
program_041;100.0;Well tested;0.3158879280090332;17;10;10;87.5
program_043;0.0;Weakly tested;0.016908645629882812;16;0;0;66.67
program_047;0.0;Weakly tested;0.0055844783782958984;15;0;0;50.0
program_048;100.0;Well tested;0.04805564880371094;6;6;6;66.67
program_053;0.0;Weakly tested;0.015711307525634766;6;0;0;50.0
program_057;0.0;Weakly tested;0.005080461502075195;6;0;0;66.67
program_059;100.0;Well tested;0.015656471252441406;4;1;1;66.67
program_062;0.0;Weakly tested;0.011579275131225586;7;0;0;66.67
program_063;100.0;Well tested;0.020558595657348633;9;1;1;83.33
program_069;100.0;Well tested;1.4535088539123535;7;13;13;87.5
program_074;0.0;Weakly tested;0.015711307525634766;10;0;0;66.67
program_075;50.0;Weakly tested;0.015581607818603516;8;2;1;66.67
program_082;100.0;Well tested;0.030376672744750977;10;2;2;66.67
program_087;100.0;Well tested;0.2725484371185303;7;5;5;75.0
program_092;100.0;Well tested;5.110693454742432;7;10;9;87.5
program_093;100.0;Well tested;0.03185296058654785;11;3;3;83.33
program_095;100.0;Well tested;0.03133869171142578;7;3;3;50.0
program_099;100.0;Well tested;10.098792552947998;9;4;2;83.33
