Program;Mutation Score;Classification
program_003;100.0;Well tested
program_005;100.0;Well tested
program_007;100.0;Well tested
program_008;85.71428571428571;Well tested
program_009;66.66666666666666;Weakly tested
program_014;0;Weakly tested
program_019;100.0;Well tested
program_020;77.77777777777779;Weakly tested
program_023;88.23529411764706;Well tested
program_024;100.0;Well tested
program_027;100.0;Well tested
program_029;90.0;Well tested
program_030;100.0;Well tested
program_033;100.0;Well tested
program_034;100.0;Well tested
program_035;0;Weakly tested
program_036;0;Weakly tested
program_037;100.0;Well tested
program_038;66.66666666666666;Weakly tested
program_041;100.0;Well tested
program_043;0;Weakly tested
program_047;0;Weakly tested
program_048;100.0;Well tested
program_053;0;Weakly tested
program_057;0;Weakly tested
program_059;100.0;Well tested
program_062;0;Weakly tested
program_063;100.0;Well tested
program_069;100.0;Well tested
program_074;0;Weakly tested
program_075;50.0;Weakly tested
program_082;100.0;Well tested
program_087;100.0;Well tested
program_092;100.0;Well tested
program_093;100.0;Well tested
program_095;100.0;Well tested
program_099;100.0;Well tested
