Program;Total;Killed;Survived;Timeout;Mutation Score (%)
program_003;8;8;0;0;100.0
program_005;3;3;0;0;100.0
program_007;1;1;0;0;100.0
program_008;14;11;2;1;85.71
program_009;15;8;5;2;66.67
program_014;0;0;0;0;0.0
program_019;10;10;0;0;100.0
program_020;9;7;2;0;77.78
program_023;17;11;2;4;88.24
program_024;3;3;0;0;100.0
program_027;2;2;0;0;100.0
program_029;10;9;1;0;90.0
program_030;14;14;0;0;100.0
program_033;9;9;0;0;100.0
program_034;8;8;0;0;100.0
program_035;0;0;0;0;0.0
program_036;0;0;0;0;0.0
program_037;1;1;0;0;100.0
program_038;3;2;1;0;66.67
program_041;10;10;0;0;100.0
program_043;0;0;0;0;0.0
program_047;0;0;0;0;0.0
program_048;6;6;0;0;100.0
program_053;0;0;0;0;0.0
program_057;0;0;0;0;0.0
program_059;1;1;0;0;100.0
program_062;0;0;0;0;0.0
program_063;1;1;0;0;100.0
program_069;13;13;0;0;100.0
program_074;0;0;0;0;0.0
program_075;2;1;1;0;50.0
program_082;2;2;0;0;100.0
program_087;5;5;0;0;100.0
program_092;10;9;0;1;100.0
program_093;3;3;0;0;100.0
program_095;3;3;0;0;100.0
program_099;4;2;0;2;100.0
